规则名称,严重级别,规则说明,规则识别字符串
gosimple/usageadvice,警告,"应该使用%s = append(%s, %s...) 来替换循环","should replace loop with \w* = append\(\w*, \w*\.\.\.\)"
gosimple/usageadvice,警告,"应该使用time.Since，而不是time.Now().Sub","should use time\.Since instead of time\.Now\(\)\.Sub"
gosimple/usageadvice,警告,"应该使用time.Util，而不是t.Sub(time.Now())","should use time\.Until instead of t\.Sub\(time\.Now\(\)\)"
gosimple/usageadvice,警告,"应该写 %s 而不是 %s","should write \w* instead of \w*"
gosimple/usageadvice,警告,"_ = <-ch' 可以简化为 '<-ch'","_ = <-ch' can be simplified to '<-ch'"
gosimple/usageadvice,警告,"应该转换 %s(类型为%s）到%s，而不是使用struct结构","should convert \w* (type \w*) to \w* instead of using struct literal"
gosimple/usageadvice,警告,"应该使用无条件的 %s 来替换这个if语句","should replace this if statement with an unconditional \w*"
gosimple/usageadvice,警告,"应该使用无条件的 %s.%s 来替换这个if语句","should replace this if statement with an unconditional \w*\.\w*"
gosimple/usageadvice,警告,"应该使用copy(%s[:%s], %s[%s:])","should use copy\(\w*\[:\w*\], \w*\[\w*:\]\) instead"
gosimple/usageadvice,警告,"应该使用make(%s)","should use make\(\w*, \w*\) instead"
gosimple/usageadvice,警告,"当 %s 为true时，%s不可能为nil","when .* is true, .* can't be nil"
gosimple/usageadvice,警告,"应该在新的一行里合并变量的声明和赋值","should merge variable declaration with assignment on next line"
gosimple/usageadvice,警告,"多余的break语句","redundant break statement"
gosimple/usageadvice,警告,"多余的return语句","redundant return statement"
gosimple/usageadvice,警告,"应该使用String()，而不是fmt.Sprintf","should use String\(\) instead of fmt\.Sprintf"
gosimple/usageadvice,警告,"参数已经是字符串，没有必要使用fmt.Sprintf","the argument is already a string, there's no need to use fmt\.Sprintf"
gosimple/usageadvice,警告,"参数的基础类型是字符串，应该使用简单的转换而不是使用fmt.Sprintf","the argument's underlying type is a string, should use a simple conversion instead of fmt\.Sprintf"
gosimple/usageadvice,警告,"应该使用fmt.Errorf(...)，而不是errors.New(fmt.Sprintf(...))","should use fmt\.Errorf\(\.\.\.\) instead of errors\.New\(fmt\.Sprintf\(\.\.\.\)\)"
gosimple/usageadvice,警告,"不必要的nil检查","unnecessary nil check around range"
ineffassign/assign,警告,"无效赋值：%s","ineffectual assignment to \w*"
interfacer/interface,警告,"%s 可以为 %s","\S* can be \S*"
maligned/size,警告,"%s：结构大小%d 可以为 %d",".*: struct of size \d* could be \d*"
misspell/spell,警告,"%s 应拼写为 %s","\S* is a misspelling of \S*"
nakedret/ret,错误,"在%v:%v %v 的第 %v 行的函数，存在空返回值(naked returns)\n","\S* naked returns on \w* line function"
safesql/sql,错误,"潜在不安全的SQL语句","Found \d* potentially unsafe SQL statements:"
staticcheck/append,错误,"append的结果不会被使用，除非在其他的appends里","this result of append is never used, except maybe in other appends"
staticcheck/args,错误,"该函数类似print风格的函数，有第一个动态参数，但没有其他更多的参数。应该使用print风格的函数。","printf-style function with dynamic format string and no further arguments should use print-style function instead"
staticcheck/args,错误,"参数%s在使用前被覆写了","argument \w* is overwritten before first use"
staticcheck/args,错误,"io.Seeker的第一个参数是偏移值offset，但是使用了io.Seek*常量","the first argument of io\.Seeker is the offset, but an io\.Seek\* constant is being used instead"
staticcheck/assign,错误,"不应该赋值给%s","should not assign to \w*"
staticcheck/assign,错误,"赋值给nil map","assignment to nil map"
staticcheck/assign,错误,"%s 自赋值为 %s","self-assignment of \w* to \w*"
staticcheck/boolean,错误,"对于boolean类型的双重否定是没有效果的，是笔误吗？","negating a boolean twice has no effect; is this a typo\?"
staticcheck/break,错误,"break语句没有效果，是希望跳出外部循环吗？","ineffective break statement\. Did you mean to break out of the outer loop\?"
staticcheck/compare,错误,"比较两个不同长度的字符串是否相等，会永远返回false","comparing strings of different sizes for equality will always return false"
staticcheck/compare,错误,"％s类型的每个值都是> = 0","every value of type \w* is >= 0"
staticcheck/compare,错误,"％s类型的值不小于0","no value of type \w* is less than 0"
staticcheck/compare,错误,"没有数值等于NaN，即使Nan本身","no value is equal to NaN, not even NaN itself"
staticcheck/compare,错误,"x & 0的结果永远等于 0","x & 0 always equals 0"
staticcheck/compare,错误,"x %s 0的结果永远等于x","x \S* 0 always equals x"
staticcheck/condition,错误,"这个条件多次出现在if/else if链中","this condition occurs multiple times in this if/else if chain"
staticcheck/defer,错误,"defer %s 前，应该先检查返回的错误码","should check returned error before deferring \S*"
staticcheck/defer,错误,"刚好在lock之后defer %s，你是想defer %s吗？","deferring \S* right after having locked already; did you mean to defer \S*\?"
staticcheck/deprecated,错误,"%s 已经废弃：%s","\S* is deprecated: \S*"
staticcheck/efficient,错误,"m[string(key)] 可能比 k := string(key); m[k] 更加高效","m\[string\(key\)\] would be more efficient than k :\= string\(key\); m\[k\]"
staticcheck/emptybranch,错误,"空的分支","empty branch"
staticcheck/exec,错误,"exec.Command的第一个参数看起来是shell命令，但是缺少了程序名或者路径","first argument to exec.Command looks like a shell command, but a program name or path are expected"
staticcheck/exit,错误,"TestMain应该调用os.Exit来设置退出码","TestMain should call os\.Exit to set exit code"
staticcheck/exp,错误,"%s操作符两边存在相同的表达式","identical expressions on the left and right side of the '\S*' operator"
staticcheck/exp,错误,"二元表达式永远是 %t，对于所有可能的值（%s %s %s）","binary expression is always \S* for all possible values \(\w* \w* \w*\)"
staticcheck/explicit,错误,"只有第1个常量是显式类型","only the first constant in this group has an explicit type"
staticcheck/finalizer,错误,"the finalizer closes over the object, preventing the finalizer from ever running (at %s)","the finalizer closes over the object, preventing the finalizer from ever running \(at .*\)"
staticcheck/goroutine,错误,"goroutine调用T.%s，作为测试test必须在相同的goroutine里调用","the goroutine calls T\.\S*, which must be called in the same goroutine as the test"
staticcheck/httpheader,错误,"在http.Header里的keys都是规范化的，然而%q并不符合规范；修改该常量或者使用http.CanonicalHeaderKey","keys in http.Header are canonicalized, \S* is not canonical; fix the constant or use http.CanonicalHeaderKey"
staticcheck/infinite,错误,"调用了无限递归","infinite recursive call"
staticcheck/iowriter,错误,"io.Writer.Write 不能修改所提供的buffer缓冲区，即使是临时性的","io\.Writer\.Write must not modify the provided buffer, not even temporarily"
staticcheck/loop,错误,"这个循环会spin，导致100%CPU的使用","this loop will spin, using 100%% CPU"
staticcheck/loop,错误,"循环条件一直没有变化，或者存在竞争条件","loop condition never changes or has a race condition"
staticcheck/loop,错误,"无限循环中的defers永远不会运行","defers in this infinite loop will never run"
staticcheck/loop,错误,"在range循环中，defers不会运行，除非通道被关闭","defers in this range loop won't run unless the channel gets closed"
staticcheck/loop,错误,"在for+select循环中不应该存在空的default case，会导致循环spin","should not have an empty default case in a for+select loop. The loop will spin\."
staticcheck/loop,错误,"循环变量没有变化","variable in loop condition never changes"
staticcheck/loop,错误,"外层循环无条件终止","the surrounding loop is unconditionally terminated"
staticcheck/overrun,错误,"index索引超出界限（bounds）","index out of bounds"
staticcheck/resource,错误,"空的临界区（critical section)","empty critical section"
staticcheck/return,错误,"%s 是一个纯函数（pure function），但是它的返回值被忽略了","\S* is a pure function but its return value is ignored"
staticcheck/routine,错误,"启动goroutine前应该先调用%s，以避免竞争","should call \S* before starting the goroutine to avoid a race"
staticcheck/signal,错误,"%s 不能被捕获（是syscall.SIGTERM吗？）","\S* cannot be trapped \(did you mean syscall\.SIGTERM\?\)"
staticcheck/signal,错误,"%s 信号不能被捕获","\S* signal cannot be trapped"
staticcheck/simple,错误,"&*x 可以简化为 x。这个用法不会复制x。","&\*x will be simplified to x\. It will not copy x\."
staticcheck/simple,错误,"*&x 可以简化为 x。这个用法不会复制x。","\*&x will be simplified to x\. It will not copy x\."
staticcheck/simple,错误,"文件模式 %s 计算结果是 %#o；是否应该是 0%s","file mode '\S*' evaluates to \S*; did you mean '0\S*'\?"
staticcheck/sleep,错误,"睡眠 %d（ns）很可能是一个bug。如果不是的话请明确下:%s","sleeping for \d* nanoseconds is probably a bug\. Be explicit if it isn't: \S*"
staticcheck/timeticker,错误,"使用time.Tick在某些场景下会泄漏。可以考虑在endless function中使用，或者使用time.NewTicker。","using time.Tick leaks the underlying ticker, consider using it only in endless functions, tests and the main package, and use time\.NewTicker here"
staticcheck/unused,错误,"这个变量%s的值不会被使用","this value of \w* is never used"
structcheck/field,警告,"未使用的struct字段","unknown field or method"
unparam/unused,警告,"参数%s没有使用","result \w* is never used"
unparam/value,警告,"参数%s始终是%s","result \w* is always \w*"
unparam/value,警告,"参数始终接收%v","always receives \S*"
unused/unused,警告,"%s没有被使用",".* is unused"
varcheck/unused,警告,"未使用的变量或常量","unused variable or constant invalid operation"
vetshadow/shadow,错误,"%q的声明覆盖了%s位置的声明","declaration of \S* shadows declaration at \S*"
